day;delta;algorithm;avg_M;max_M
2025-12-26;900;ttv;24989.73760259859;35521.339618271995
2025-12-27;900;ttv;18968.74304723817;31005.760416982575
2025-12-28;900;ttv;25315.474486089806;41722.76022270929
2025-12-29;900;ttv;38409.50224866276;70315.85894171307
2025-12-30;900;ttv;28280.916103039955;47309.443483097966
2025-12-31;900;ttv;25803.92787363004;35739.504031819655
2025-12-01;900;defi;6022.925620647574;12368.221844666605
2025-12-02;900;defi;5153.676077932481;9465.852556137812
2025-12-03;900;defi;5112.784118803117;7306.200726411028
2025-12-04;900;defi;4530.079467246127;6253.752913205932
2025-12-05;900;defi;5164.64310721279;8057.7629840325035
2025-12-06;900;defi;2175.80468400934;5187.799605483556
2025-12-07;900;defi;1728.5596017989712;4057.1000522526165
2025-12-08;900;defi;4408.703635829369;8995.591781166702
2025-12-09;900;defi;5165.468083614012;8907.83005222732
2025-12-10;900;defi;4746.842858170823;7600.069231529134
2025-12-11;900;defi;5182.347259668036;7205.868792137746
2025-12-12;900;defi;4489.349173888293;7031.68864878457
2025-12-13;900;defi;2163.7946807154785;5487.244949446165
2025-12-14;900;defi;2368.1097610326838;4638.103098970031
2025-12-15;900;defi;4542.28713939818;7845.802130504548
2025-12-16;900;defi;4456.956147857781;6347.206435474336
2025-12-17;900;defi;4354.838296925028;7909.216830381433
2025-12-18;900;defi;4357.485327363238;6310.962231168332
2025-12-19;900;defi;4440.113267133019;7711.40185874811
2025-12-20;900;defi;1754.3171150735393;5059.855616038354
2025-12-21;900;defi;1407.8425699853651;3445.212228306078
2025-12-22;900;defi;3739.2078405950374;6054.859490816013
2025-12-23;900;defi;4631.276316182292;7726.096163869415
2025-12-24;900;defi;3993.5277731212855;6481.601983368743
2025-12-25;900;defi;2103.541156338969;4105.76882017265
2025-12-26;900;defi;3315.3988161298744;5107.915404393127
2025-12-27;900;defi;1843.850343838449;4126.665775831289
2025-12-28;900;defi;1864.8870703895343;6451.477591541307
2025-12-29;900;defi;5328.700737141052;7643.498508939803
2025-12-30;900;defi;5073.040064342234;9475.50900148547
2025-12-31;900;defi;4815.195312979151;8650.355768413287
