day;delta;algorithm;avg_M;max_M
2025-03-12;64;ttv;502.40562076274705;1971.8171051317906
2025-03-13;64;ttv;532.1440936823701;1991.5108228053407
2025-03-14;64;ttv;475.2357715947281;1713.5062364970977
2025-03-15;64;ttv;280.0159591166732;2278.096559370666
2025-03-16;64;ttv;262.38614854460457;1035.7969706957279
2025-03-17;64;ttv;455.96596394348836;1957.855047981959
2025-03-18;64;ttv;534.6624913673795;2960.038305417744
2025-03-19;64;ttv;586.3374796623549;2538.0852390923196
2025-03-20;64;ttv;571.831275253643;1874.6084331514478
2025-03-21;64;ttv;701.8538403442207;14810.741826280138
2025-03-22;64;ttv;271.9896297700187;972.5770159655567
2025-03-23;64;ttv;332.1181099864513;1593.55985036193
2025-03-24;64;ttv;641.5343642506184;2179.8385946022213
2025-03-25;64;ttv;592.0057688995104;5322.118914623257
2025-03-26;64;ttv;576.7280928642754;9794.4162873866
2025-03-27;64;ttv;564.7881684886551;2223.185238914018
2025-03-28;64;ttv;807.3375603339913;3980.0769509257766
2025-03-29;64;ttv;435.9565652665178;3037.1448385527365
2025-03-30;64;ttv;360.94698492401403;2315.1564765855683
2025-03-31;64;ttv;653.2891844201237;2559.999927710553
2025-04-01;64;ttv;576.6681656146983;2403.9903143118086
2025-04-02;64;ttv;568.0036990190433;3551.241360614891
2025-04-03;64;ttv;582.8588714151296;2504.019472686447
2025-04-04;64;ttv;647.6117735805614;2680.7540793247304
2025-04-05;64;ttv;318.61374881146213;1898.0192823501948
2025-04-06;64;ttv;442.20941554320893;2435.74215516434
2025-04-07;64;ttv;832.128600557513;2819.6057305930976
2025-04-08;64;ttv;605.2589128246353;2412.729517907887
2025-04-09;64;ttv;771.531750138169;2171.11223592975
2025-04-10;64;ttv;553.9859861825819;3780.7778184371796
2025-04-11;64;ttv;629.8038962309106;2419.2098843944973
2025-04-12;64;ttv;471.38276056826885;3333.577861204464
2025-04-13;64;ttv;451.4764559179638;2738.4888391466193
2025-04-14;64;ttv;556.4041582510964;2532.194625067598
2025-04-15;64;ttv;594.0603999613746;2550.196702668792
2025-04-16;64;ttv;516.0607519386396;2293.277398402236
2025-04-17;64;ttv;524.4455509173616;2858.0794118843346
2025-04-18;64;ttv;492.2116393874022;2780.453850877207
2025-04-19;64;ttv;238.43606765426057;779.2201349056787
2025-04-20;64;ttv;324.97975805402297;1943.1163167214163
2025-04-21;64;ttv;575.9586507761579;3095.237726420781
2025-04-22;64;ttv;753.8496243933769;2541.9138399123285
2025-04-23;64;ttv;642.284079403475;2124.634264615101
2025-04-24;64;ttv;586.1882751095013;1984.5022404602337
2025-04-25;64;ttv;654.4997398572118;2763.410983376253
2025-04-26;64;ttv;356.1879686578966;1201.866105857923
2025-04-27;64;ttv;364.9293667429087;2027.6475199723125
2025-04-28;64;ttv;649.8846207691533;2659.662530840557
2025-04-29;64;ttv;659.7747695325668;3948.8307033009573
2025-04-30;64;ttv;545.4682115520075;2716.837728523855
2025-05-01;64;ttv;682.0183220049287;4465.392798428707
2025-05-02;64;ttv;513.5495497822354;3048.0572831190048
2025-05-03;64;ttv;300.35023646630884;1186.6084730862412
2025-05-04;64;ttv;344.9751184018674;1718.5442158491187
2025-05-05;64;ttv;540.7627155106112;2566.016012875563
2025-05-06;64;ttv;671.0008172577118;5762.874718091457
2025-05-07;64;ttv;556.2093198299366;2845.350742046831
